,Player,First year,Last year,Position,Height,Weight,Birth Date,College,id
2663,Kevin McHale,1981,1993,F-C,6-10,210,"December 19, 1957",University of Minnesota,mchalke01
2664,Maurice McHartley,1968,1970,G-F,6-3,185,"August 1, 1942",North Carolina Agricultural and Technical State University,mcharma01
2665,Jim McIlvaine,1995,2001,C,7-1,240,"July 30, 1972",Marquette University,mcilvji01
2666,Jeff McInnis,1997,2008,G,6-4,190,"October 22, 1974",University of North Carolina,mcinnje01
2667,Kenny McIntosh,1972,1975,F,6-7,225,"January 21, 1949",Eastern Michigan University,mcintke01
2668,Bob McIntyre,1968,1970,F,6-6,215,"January 23, 1944",St. John's University,mcintbo01
2669,Jerry McKee,1970,1970,G,6-3,190,"August 4, 1946",Ohio University,mckeeje01
2670,Kevin McKenna,1982,1988,G-F,6-5,195,"January 8, 1959",Creighton University,mckenke01
2671,Forrest McKenzie,1987,1987,F,6-7,200,"February 16, 1963",Loyola Marymount University,mckenfo01
2672,Stan McKenzie,1968,1974,F-G,6-5,195,"October 6, 1944",New York University,mckenst01
2673,Derrick McKey,1988,2002,F-C,6-9,205,"October 10, 1966",University of Alabama,mckeyde01
2674,Aaron McKie,1995,2007,G,6-5,209,"October 2, 1972",Temple University,mckieaa01
2675,Billy McKinney,1979,1986,G,6-0,160,"June 5, 1955",Northwestern University,mckinbi01
2676,Bones McKinney,1947,1952,F-C,6-6,185,"January 1, 1919",University of North Carolina,mckinbo01
2677,Carlton McKinney,1990,1992,G,6-4,190,"October 21, 1964",Southern Methodist University,mckinca01
2678,Alfonzo McKinnie,2018,2018,F,6-8,215,"September 17, 1992",University of Wisconsin-Green Bay,mckinal01
2679,Ben McLemore,2014,2018,G,6-5,195,"February 11, 1993",University of Kansas,mclembe01
2680,McCoy McLemore,1965,1972,F-C,6-7,230,"April 3, 1942",Drake University,mclemmc01
2681,George McLeod,1953,1953,F,6-5,200,"January 3, 1931",Texas Christian University,mcleoge01
2682,Keith McLeod,2004,2007,G,6-2,188,"November 5, 1979",Bowling Green State University,mcleoke01
2683,Roshown McLeod,1999,2001,F,6-8,221,"November 17, 1975",Duke University,mcleoro01
2684,Jack McMahon,1953,1960,G,6-1,185,"December 3, 1928",St. John's University,mcmahja01
2685,Nate McMillan,1987,1998,G-F,6-5,195,"August 3, 1964",North Carolina State University,mcmilna01
2686,Tom McMillen,1976,1986,F-C,6-11,215,"May 26, 1952",University of Maryland,mcmilto01
2687,Jim McMillian,1971,1979,F,6-5,215,"March 11, 1948",Columbia University,mcmilji01
2688,Shellie McMillon,1959,1962,F,6-5,205,"March 11, 1936",Bradley University,mcmilsh01
2689,Mal McMullen,1950,1951,F-C,6-5,210,"August 23, 1927",Xavier University,mcmulma01
2690,Chet McNabb,1948,1948,F,6-2,200,"September 19, 1920",Arizona State University,mcnabch01
2691,Mark McNamara,1983,1991,C-F,6-11,235,"June 8, 1959",University of California,mcnamma01
2692,Joe McNamee,1951,1952,F-C,6-6,210,"September 24, 1926",University of San Francisco,mcnamjo01
2693,Jerel McNeal,2015,2015,G,6-3,200,"June 1, 1987",Marquette University,mcneaje01
2694,Chris McNealy,1986,1988,F,6-7,210,"July 15, 1961",San Jose State University,mcneach01
2695,Bob McNeill,1961,1962,G,6-1,170,"October 22, 1938",Saint Joseph's University,mcneibo01
2696,Larry McNeill,1974,1979,F-C,6-9,195,"January 31, 1951",Marquette University,mcneila01
2697,Carl McNulty,1955,1955,G,6-3,185,"February 14, 1930",Purdue University,mcnulca01
2698,Paul McPherson,2001,2001,G,6-4,210,"July 3, 1978",DePaul University,mcphepa01
2699,Roy McPipe,1975,1975,G,6-3,205,"May 5, 1950","Montana State University, Billings",mcpipro01
2700,Cozell McQueen,1987,1987,F,6-11,235,"January 18, 1962",North Carolina State University,mcqueco01
2701,Jordan McRae,2016,2017,G,6-6,185,"March 28, 1991",University of Tennessee,mcraejo01
2702,Thales McReynolds,1966,1966,G,6-3,185,"June 8, 1943",Miles College,mcreyth01
2703,Josh McRoberts,2008,2018,F,6-10,240,"February 28, 1987",Duke University,mcrobjo01
2704,Eric McWilliams,1973,1973,F,6-8,200,"April 18, 1950","California State University, Long Beach",mcwiler01
2705,George Mearns,1947,1948,F,6-3,175,"April 18, 1922",University of Rhode Island,mearnge01
2706,Stanislav Medvedenko,2001,2007,F,6-10,250,"April 4, 1979",,medvest01
2707,Darnell Mee,1994,1995,G,6-5,175,"February 11, 1971",Western Kentucky University,meeda01
2708,Jodie Meeks,2010,2018,G,6-4,210,"August 21, 1987",University of Kentucky,meeksjo01
2709,Cliff Meely,1972,1976,F-C,6-8,215,"July 10, 1947",University of Colorado,meelycl01
2710,Scott Meents,1990,1991,F,6-10,225,"January 4, 1964",University of Illinois at Urbana-Champaign,meentsc01
2711,Dick Mehen,1950,1952,F-C,6-5,195,"May 20, 1922",University of Tennessee,mehendi01
2712,Monk Meineke,1953,1958,F-C,6-7,208,"October 30, 1930",University of Dayton,meinemo01
2713,Carl Meinhold,1948,1949,G-F,6-2,185,"March 29, 1926",Long Island University,meinhca01
2714,Salah Mejri,2016,2018,C,7-1,245,"June 15, 1986",,mejrisa01
2715,Gal Mekel,2014,2015,G,6-3,191,"March 4, 1988",Wichita State University,mekelga01
2716,Bill Melchionni,1967,1976,G,6-1,165,"October 19, 1944",Villanova University,melchbi01
2717,Gary Melchionni,1974,1975,G,6-2,185,"January 19, 1951",Duke University,melchga01
2718,Fab Melo,2013,2013,C,7-0,255,"June 20, 1990",Syracuse University,melofa01
2719,Ed Melvin,1947,1947,G,5-9,170,"February 13, 1916",Duquesne University,melvied01
2720,Dean Meminger,1972,1977,G,6-0,175,"May 13, 1948",Marquette University,meminde01
2721,Chuck Mencel,1956,1957,G,6-0,168,"April 21, 1933",University of Minnesota,mencech01
2722,John Mengelt,1972,1981,G,6-2,195,"October 16, 1949",Auburn University,mengejo01
2723,Ken Menke,1950,1950,G,6-0,168,"October 2, 1922",University of Illinois at Urbana-Champaign,menkeke01
2724,Pops Mensah-Bonsu,2007,2011,F,6-9,240,"September 7, 1983",George Washington University,mensapo01
2725,Dewitt Menyard,1968,1968,C,6-10,210,"May 24, 1944",University of Utah,menyade01
2726,Ron Mercer,1998,2005,G-F,6-7,210,"May 18, 1976",University of Kentucky,mercero01
2727,Joe Meriweather,1976,1985,C-F,6-10,215,"October 26, 1953",Southern Illinois University,meriwjo01
2728,Porter Meriwether,1963,1963,G,6-2,180,"March 16, 1940",Tennessee State University,meriwpo01
2729,Tom Meschery,1962,1971,F,6-6,215,"October 26, 1938",Saint Mary's College of California,meschto01
2730,Bill Meyer,1968,1968,G,6-3,195,"August 30, 1943",Hiram College,meyerbi01
2731,Loren Meyer,1996,1999,C,6-10,257,"December 30, 1972",Iowa State University,meyerlo01
2732,Dave Meyers,1976,1980,F-C,6-8,215,"April 21, 1953","University of California, Los Angeles",meyerda01
2733,Stan Miasek,1947,1953,C-F,6-5,210,"September 19, 1923",,miasest01
2734,Larry Micheaux,1984,1985,F,6-9,220,"March 24, 1960",University of Houston,michela01
2735,Jordan Mickey,2016,2018,F,6-8,235,"July 9, 1994",Louisiana State University,mickejo01
2736,Khris Middleton,2013,2018,F-G,6-8,234,"August 12, 1991",Texas A&M University,middlkh01
2737,Red Mihalik,1947,1947,G,6-0,180,"September 22, 1916",,mihalre01
2738,Chris Mihm,2001,2009,C,7-0,265,"July 16, 1979",University of Texas at Austin,mihmch01
2739,Ed Mikan,1949,1954,C-F,6-8,230,"October 20, 1925",DePaul University,mikaned01
2740,George Mikan,1949,1956,C,6-10,245,"June 18, 1924",DePaul University,mikange01
2741,Larry Mikan,1971,1971,F,6-7,210,"April 8, 1948",University of Minnesota,mikanla01
2742,Vern Mikkelsen,1950,1959,F-C,6-7,230,"October 21, 1928",Hamline University,mikkeve01
2743,Al Miksis,1950,1950,C,6-7,210,"February 2, 1928",Western Illinois University,miksial01
2744,Aaron Miles,2006,2006,G,6-1,175,"April 13, 1983",University of Kansas,milesaa01
2745,C.J. Miles,2006,2018,G-F,6-6,225,"April 18, 1987",,milescj01
2746,Darius Miles,2001,2009,F,6-9,210,"October 9, 1981",,milesda01
2747,Eddie Miles,1964,1972,G-F,6-4,195,"July 5, 1940",Seattle University,milesed01
2748,Marko Milic,1998,1999,G-F,6-6,235,"May 7, 1977",,milicma01
2749,Darko Milicic,2004,2013,F-C,7-0,250,"June 20, 1985",,milicda01
2750,Nat Militzok,1947,1947,F,6-3,195,"May 3, 1923",Cornell University,militna01
2751,Andre Miller,2000,2016,G,6-3,200,"March 19, 1976",University of Utah,millean02
2752,Anthony Miller,1995,2005,F,6-9,225,"October 22, 1971",Michigan State University,millean01
2753,Bill Miller,1949,1949,F,6-3,190,"November 24, 1924",University of North Carolina,millebi01
2754,Bob Miller,1984,1984,F,6-10,230,"July 9, 1956",University of Cincinnati,millebo01
2755,Brad Miller,1999,2012,C,6-11,244,"April 12, 1976",Purdue University,millebr01
2756,Darius Miller,2013,2018,F,6-8,235,"March 21, 1990",University of Kentucky,milleda01
2757,Dick Miller,1981,1981,F,6-6,215,"April 26, 1958",University of Toledo,milledi01
2758,Eddie Miller,1953,1954,C-F,6-8,225,"June 18, 1931",Syracuse University,milleed01
2759,Harry Miller,1947,1947,C-F,6-4,230,"July 28, 1923",University of North Carolina,milleha01
2760,Jay Miller,1968,1971,F,6-5,205,"July 19, 1943",University of Notre Dame,milleja01
2761,Larry Miller,1969,1975,G-F,6-4,190,"April 4, 1946",University of North Carolina,millela01
2762,Malcolm Miller,2018,2018,F,6-7,210,"March 6, 1993",College of the Holy Cross,millema01
2763,Mike Miller,2001,2017,F-G,6-8,218,"February 19, 1980",University of Florida,millemi01
2764,Oliver Miller,1993,2004,C,6-9,280,"April 6, 1970",University of Arkansas,milleol01
2765,Quincy Miller,2013,2015,F,6-9,210,"November 18, 1992",Baylor University,millequ01
2766,Reggie Miller,1988,2005,G-F,6-7,185,"August 24, 1965","University of California, Los Angeles",millere01
2767,Walt Miller,1947,1947,F,6-2,190,"July 30, 1915",Duquesne University,millewa01
2768,Chris Mills,1994,2003,F,6-6,215,"January 25, 1970",University of Arizona,millsch01
2769,John Mills,1947,1947,C-F,6-8,203,"September 7, 1919",Western Kentucky University,millsjo01
2770,Patty Mills,2010,2018,G,6-0,185,"August 11, 1988",Saint Mary's College of California,millspa02
2771,Terry Mills,1991,2001,F,6-10,230,"December 21, 1967",University of Michigan,millste01
2772,Elijah Millsap,2015,2017,G-F,6-6,225,"August 12, 1987",University of Alabama at Birmingham,millsel01
2773,Paul Millsap,2007,2018,F,6-8,246,"February 10, 1985",Louisiana Tech University,millspa01
2774,Harold Miner,1993,1996,G,6-5,210,"May 5, 1971",University of Southern California,minerha01
2775,Yao Ming,2003,2011,C,7-6,310,"September 12, 1980",,mingya01
2776,Dirk Minniefield,1986,1988,G,6-3,180,"January 17, 1961",University of Kentucky,minnidi01
2777,Dave Minor,1952,1953,G-F,6-2,185,"February 23, 1922","University of California, Los Angeles",minorda01
2778,Greg Minor,1995,1999,G-F,6-6,210,"September 18, 1971",University of Louisville,minorgr01
2779,Mark Minor,1973,1973,F,6-6,215,"May 14, 1950",Ohio State University,minorma01
2780,Nikola Mirotic,2015,2018,F,6-10,220,"February 11, 1991",,mirotni01
2781,Wat Misaka,1948,1948,G,5-7,150,"December 21, 1923",University of Utah,misakwa01
2782,Jason Miskiri,2000,2000,G,6-2,175,"August 19, 1975",George Mason University,miskija01
2783,Donovan Mitchell,2018,2018,G,6-3,211,"September 7, 1996",University of Louisville,mitchdo01
2784,Leland Mitchell,1968,1968,G,6-4,210,"February 22, 1941",Mississippi State University,mitchle01
2785,Mike Mitchell,1979,1988,F,6-7,215,"January 1, 1956",Auburn University,mitchmi01
2786,Murray Mitchell,1950,1950,C,6-6,,"March 19, 1923",Sam Houston State University,mitchmu01
2787,Sam Mitchell,1990,2002,F,6-6,210,"September 2, 1963",Mercer University,mitchsa01
2788,Todd Mitchell,1989,1989,F,6-7,205,"July 26, 1966",Purdue University,mitchto01
2789,Tony Mitchell,2014,2014,F,6-6,216,"August 7, 1989",University of Alabama,mitchto03
2790,Tony Mitchell,2014,2014,F,6-8,235,"April 7, 1992",University of North Texas,mitchto02
2791,Naz Mitrou-Long,2018,2018,G,6-4,209,"August 3, 1993",Iowa State University,mitrona01
2792,Steve Mix,1970,1983,F,6-7,215,"December 30, 1947",University of Toledo,mixst01
2793,Bill Mlkvy,1953,1953,F,6-4,190,"January 19, 1931",Temple University,mlkvybi01
2794,Cuttino Mobley,1999,2009,G,6-4,190,"September 1, 1975",University of Rhode Island,moblecu01
2795,Eric Mobley,1995,1997,C,6-11,235,"February 1, 1970",University of Pittsburgh,mobleer01
2796,Doug Moe,1968,1972,F-G,6-5,215,"September 21, 1938",University of North Carolina,moedo01
2797,Larry Moffett,1978,1978,F,6-8,210,"November 5, 1954","University of Nevada, Las Vegas",moffela01
2798,Leo Mogus,1947,1951,F-C,6-4,190,"April 13, 1921",Youngstown State University,mogusle01
2799,Nazr Mohammed,1999,2016,C,6-10,221,"September 5, 1977",University of Kentucky,mohamna01
2800,Jerome Moiso,2001,2005,F-C,6-10,235,"June 15, 1978","University of California, Los Angeles",moisoje01
2801,Paul Mokeski,1980,1991,C-F,7-0,250,"January 3, 1957",University of Kansas,mokespa01
2802,Jack Molinas,1954,1954,F,6-6,200,"October 31, 1931",Columbia University,molinja01
2803,Wayne Molis,1967,1968,F,6-8,230,"April 17, 1943",Lewis University,moliswa01
2804,Sidney Moncrief,1980,1991,G,6-3,180,"September 21, 1957",University of Arkansas,moncrsi01
2805,Eric Money,1975,1980,G,6-0,170,"February 6, 1955",University of Arizona,moneyer01
2806,Sergei Monia,2006,2006,F,6-8,220,"April 15, 1983",,moniase01
2807,Malik Monk,2018,2018,G,6-3,200,"February 4, 1998",University of Kentucky,monkma01
2808,Earl Monroe,1968,1980,G,6-3,185,"November 21, 1944",Winston-Salem State University,monroea01
2809,Greg Monroe,2011,2018,C-F,6-11,265,"June 4, 1990",Georgetown University,monrogr01
2810,Rodney Monroe,1992,1992,G,6-3,185,"April 16, 1968",North Carolina State University,monroro01
2811,Luis Montero,2016,2018,G,6-7,185,"April 6, 1993",Westchester CC,montelu01
2812,Howie Montgomery,1963,1963,F,6-5,220,"August 22, 1940",University of Texas-Pan American,montgho01
2813,Eric Montross,1995,2002,C,7-0,270,"September 23, 1971",University of North Carolina,montrer01
2814,Jamario Moon,2008,2012,F,6-8,205,"June 13, 1980",Meridian Community College,moonja01
2815,Jim Mooney,1953,1953,F,6-5,215,"July 8, 1930",Villanova University,mooneji01
2816,Andre Moore,1988,1988,F,6-9,215,"July 2, 1964",Loyola University of Chicago,moorean01
2817,Ben Moore,2018,2018,F,6-7,203,"May 13, 1995",Southern Methodist University,moorebe01
2818,E'Twaun Moore,2012,2018,G,6-4,191,"February 28, 1989",Purdue University,mooreet01
2819,Gene Moore,1969,1975,C-F,6-9,225,"July 29, 1945",Saint Louis University,moorege01
2820,Jackie Moore,1955,1957,F,6-5,180,"September 24, 1932",La Salle University,mooreja01
2821,Johnny Moore,1981,1990,G,6-1,175,"March 3, 1958",University of Texas at Austin,moorejo01
2822,Larry Moore,1968,1968,F,6-7,215,,,moorela01
2823,Lowes Moore,1981,1983,G,6-1,170,"May 5, 1957",West Virginia University,moorelo01
2824,Mikki Moore,1999,2012,C,6-11,225,"November 4, 1975",University of Nebraska,mooremi01
2825,Otto Moore,1969,1977,C-F,6-11,205,"August 27, 1946",University of Texas-Pan American,mooreot01
2826,Richard Moore,1968,1968,G,6-2,190,,Hiram Scott College,mooreri01
2827,Ron Moore,1988,1988,C,7-0,260,"January 16, 1962",West Virginia State University,moorero01
2828,Tracy Moore,1992,1997,G-F,6-4,200,"December 28, 1965",University of Tulsa,mooretr01
2829,Eric Moreland,2015,2018,F-C,6-10,238,"December 24, 1991",Oregon State University,moreler01
2830,Jackie Moreland,1961,1970,F-G,6-7,215,"March 11, 1938",Louisiana Tech University,morelja01
2831,Guy Morgan,1983,1983,G,6-8,205,"August 23, 1960",Wake Forest University,morgagu01
2832,Rex Morgan,1971,1972,G,6-5,190,"October 27, 1948",Jacksonville University,morgare01
2833,Elmore Morgenthaler,1947,1949,C,6-9,230,"August 3, 1922",New Mexico Institute of Mining and Technology,morgeel01
2834,Darren Morningstar,1994,1994,C,6-10,235,"April 22, 1969",University of Pittsburgh,mornida01
2835,Chris Morris,1989,1999,F,6-8,210,"January 20, 1966",Auburn University,morrich01
2836,Darius Morris,2012,2015,G,6-4,190,"January 3, 1991",University of Michigan,morrida01
2837,Isaiah Morris,1993,1993,F,6-8,229,"April 2, 1969",University of Arkansas,morriis01
2838,Marcus Morris,2012,2018,F,6-9,235,"September 2, 1989",University of Kansas,morrima03
2839,Markieff Morris,2012,2018,F,6-10,245,"September 2, 1989",University of Kansas,morrima02
2840,Max Morris,1950,1950,F-C,6-2,195,"March 14, 1925",Northwestern University,morrima01
2841,Monte Morris,2018,2018,G,6-3,175,"June 27, 1995",Iowa State University,morrimo01
2842,Randolph Morris,2007,2010,C,6-10,266,"January 2, 1986",University of Kentucky,morrira01
2843,Terence Morris,2002,2006,F,6-9,221,"January 11, 1979",University of Maryland,morrite01
2844,Adam Morrison,2007,2010,F,6-8,205,"July 19, 1984",Gonzaga University,morriad01
2845,John Morrison,1968,1968,G,6-2,190,"May 2, 1945",Canisius College,morrijo01
2846,Mike Morrison,1990,1990,G,6-4,195,"August 16, 1967",Loyola College in Maryland,morrimi01
2847,Red Morrison,1955,1958,F-C,6-8,220,"April 26, 1932",University of Idaho,morrire01
2848,Anthony Morrow,2009,2017,G,6-5,210,"September 27, 1985",Georgia Institute of Technology,morroan01
2849,Dwayne Morton,1995,1995,F,6-7,195,"August 8, 1971",University of Louisville,mortodw01
2850,John Morton,1990,1992,G,6-3,180,"May 18, 1967",Seton Hall University,mortojo01
2851,Richard Morton,1989,1989,G,6-3,190,"February 2, 1966","California State University, Fullerton",mortori01
2852,Glenn Mosley,1978,1979,F,6-8,195,"December 26, 1955",Seton Hall University,moslegl01
2853,Perry Moss,1986,1987,G,6-2,185,"November 11, 1958",Northeastern University,mosspe01
2854,Lawrence Moten,1996,1998,G,6-5,185,"March 25, 1972",Syracuse University,motenla01
2855,Donatas Motiejunas,2013,2017,F-C,7-0,222,"September 20, 1990",,motiedo01
2856,Johnathan Motley,2018,2018,F,6-9,238,"May 4, 1995",Baylor University,motlejo01
2857,Hanno Mottola,2001,2002,C,6-11,247,"September 9, 1976",University of Utah,mottoha01
2858,Arnett Moultrie,2013,2014,F,6-11,249,"November 18, 1990",Mississippi State University,moultar01
2859,Rick Mount,1971,1975,G,6-3,175,"January 5, 1947",Purdue University,mountri01
2860,Alonzo Mourning,1993,2008,C,6-10,240,"February 8, 1970",Georgetown University,mournal01
2861,Timofey Mozgov,2011,2018,C,7-1,275,"July 16, 1986",,mozgoti01
2862,Chuck Mrazovich,1951,1951,F,6-5,185,"February 26, 1924",Eastern Kentucky University,mrazoch01
2863,Emmanuel Mudiay,2016,2018,G,6-5,200,"March 5, 1996",,mudiaem01
2864,Erwin Mueller,1967,1974,C-F,6-8,230,"March 12, 1944",University of San Francisco,mueller01
2865,Shabazz Muhammad,2014,2018,F-G,6-6,223,"November 13, 1992","University of California, Los Angeles",muhamsh01
2866,Joe Mullaney,1950,1950,G,6-0,165,"November 17, 1924",College of the Holy Cross,mullajo01
2867,Bob Mullens,1947,1947,G,6-1,175,"November 1, 1922",Fordham University,mullebo01
2868,Byron Mullens,2010,2014,C,7-0,275,"February 14, 1989",Ohio State University,mulleby01
2869,Chris Mullin,1986,2001,F-G,6-6,200,"July 30, 1963",St. John's University,mullich01
2870,Jeff Mullins,1965,1976,G-F,6-4,190,"March 18, 1942",Duke University,mullije01
2871,Todd Mundt,1996,1996,C,7-0,250,"May 17, 1970",Delta State University,mundtto01
2872,Xavier Munford,2016,2018,G,6-2,180,"June 1, 1992",University of Rhode Island,munfoxa02
2873,Chris Munk,1991,1991,F,6-9,225,"August 5, 1967",University of Southern California,munkch01
